# File: D:\MYPROJECT\SDHCAL_DAQ\PCB&SCHEMATIC\SDHCALDIF\CAPTURE\XC7A100TFGG484.csv
# Generated on: Wednesday Apr 25 15:37:52 2018

Pin Number, Signal Name, Direction, IO Standard, Drive (mA), Slew Rate, Termination, IOB Delay, Diff Type, Diff Pair, Swap Group
C2,FD<9>,UNUSED,,,,,,,,
B2,FD<11>,UNUSED,,,,,,,,
E1,FIFOADR0,UNUSED,,,,,,,,
D1,PKTEND,UNUSED,,,,,,,,
E2,FIFOADR1,UNUSED,,,,,,,,
D2,FD<8>,UNUSED,,,,,,,,
G1,FLAGB,UNUSED,,,,,,,,
F1,SLOE,UNUSED,,,,,,,,
K1,FD<4>,UNUSED,,,,,,,,
J1,FD<6>,UNUSED,,,,,,,,
H2,FLAGA,UNUSED,,,,,,,,
G2,FLAGC,UNUSED,,,,,,,,
K2,FD<5>,UNUSED,,,,,,,,
J2,FD<7>,UNUSED,,,,,,,,
J5,SLWR,UNUSED,,,,,,,,
H5,FD<15>,UNUSED,,,,,,,,
H3,SLRD,UNUSED,,,,,,,,
G3,FD<14>,UNUSED,,,,,,,,
H4,CLKOUT,UNUSED,,,,,,,,
G4,FD<13>,UNUSED,,,,,,,,
K4,Clk40M,UNUSED,,,,,,,,
J4,SLCS,UNUSED,,,,,,,,
K3,IFCLK,UNUSED,,,,,,,,
M3,FD<3>,UNUSED,,,,,,,,
L5,FD<0>,UNUSED,,,,,,,,
N4,FD<2>,UNUSED,,,,,,,,
M5,FD<1>,UNUSED,,,,,,,,
J22,raz_chnp,UNUSED,,,,,,,,
H22,raz_chnn,UNUSED,,,,,,,,
H20,val_evtp,UNUSED,,,,,,,,
G20,val_evtn,UNUSED,,,,,,,,
K21,ck_5p,UNUSED,,,,,,,,
K22,ck_5n,UNUSED,,,,,,,,
N20,ck_40p,UNUSED,,,,,,,,
M20,ck_40n,UNUSED,,,,,,,,
P20,TransmitOn2b_C,UNUSED,,,,,,,,
T21,sr_ck_C,UNUSED,,,,,,,,
P19,StartReadout1_C,UNUSED,,,,,,,,
R19,sr_rstb_C,UNUSED,,,,,,,,
T20,EndReadout2_C,UNUSED,,,,,,,,
W21,EndReadout1_C,UNUSED,,,,,,,,
W22,select,UNUSED,,,,,,,,
AA20,sr_in_B,UNUSED,,,,,,,,
AA21,TransmitOn1b_B,UNUSED,,,,,,,,
Y21,hold,UNUSED,,,,,,,,
Y22,Dout2b_B,UNUSED,,,,,,,,
AB21,ChipSatb_B,UNUSED,,,,,,,,
AB22,StartReadout2_B,UNUSED,,,,,,,,
U20,rst_counterb,UNUSED,,,,,,,,
V20,TriggerExt_B,UNUSED,,,,,,,,
W19,StartReadout1_B,UNUSED,,,,,,,,
W20,sr_ck_B,UNUSED,,,,,,,,
Y19,StartAcq_A,UNUSED,,,,,,,,
V18,StartAcq_B,UNUSED,,,,,,,,
V19,Dout1b_B,UNUSED,,,,,,,,
AA19,TriggerExt_A,UNUSED,,,,,,,,
AB20,EndReadout2_B,UNUSED,,,,,,,,
V17,EndReadout1_B,UNUSED,,,,,,,,
W17,TransmitOn2b_B,UNUSED,,,,,,,,
AA18,Dout1b_A,UNUSED,,,,,,,,
AB18,TransmitOn1b_A,UNUSED,,,,,,,,
U17,sr_rstb_B,UNUSED,,,,,,,,
U18,reset_b,UNUSED,,,,,,,,
R14,out_trigger0b,UNUSED,,,,,,,,
R18,sr_in_C,UNUSED,,,,,,,,
N17,Dout2b_C,UNUSED,,,,,,,,
V3,EXT_TRIG_IN,UNUSED,,,,,,,,
AB1,LED<7>,UNUSED,,,,,,,,
AB3,OTR,UNUSED,,,,,,,,
AB2,LED<6>,UNUSED,,,,,,,,
AA3,LED<5>,UNUSED,,,,,,,,
AA5,ADC_DATA<10>,UNUSED,,,,,,,,
AB5,ADC_DATA<9>,UNUSED,,,,,,,,
Y4,LED<4>,UNUSED,,,,,,,,
AA4,ADC_DATA<11>,UNUSED,,,,,,,,
W4,EXT_CLK_IN,UNUSED,,,,,,,,
W6,LED<2>,UNUSED,,,,,,,,
W5,LED<3>,UNUSED,,,,,,,,
Y6,LED<1>,UNUSED,,,,,,,,
AA6,ADC_DATA<8>,UNUSED,,,,,,,,
W7,LED<0>,UNUSED,,,,,,,,
AB7,ADC_DATA<6>,UNUSED,,,,,,,,
AB6,ADC_DATA<7>,UNUSED,,,,,,,,
AA8,ADC_DATA<5>,UNUSED,,,,,,,,
AB8,ADC_DATA<4>,UNUSED,,,,,,,,
Y8,TP<3>,UNUSED,,,,,,,,
Y7,EXT_TRIG_OUT,UNUSED,,,,,,,,
W9,TP<2>,UNUSED,,,,,,,,
Y9,TP<1>,UNUSED,,,,,,,,
